cdm.base.datetime,func TimeZoneFromBusinessCenterTime,<Function to resolve a time passed as BusinessCenterTime into a TimeZone time.>
cdm.base.datetime,func ResolveAdjustableDate,
cdm.base.datetime,func ResolveAdjustableDates,
cdm.base.datetime,func ToDateTime,
cdm.base.datetime,func ConvertToAdjustableOrRelativeDate,<Utility function to convert from AdjustableOrAdjustedOrRelativeDate to AdjustableOrRelativeDate>
cdm.base.datetime,func ConvertToAdjustableOrAdjustedOrRelativeDate,<Utility function to convert from AdjustableOrAdjustedOrRelativeDate to AdjustableOrAdjustedOrRelativeDate>
cdm.base.datetime,func Now,<Current date time.>
cdm.base.datetime,func Today,<Current date.>
cdm.base.datetime,func GetAllBusinessCenters,<Returns a merged list of BusinessCenterEnums for the supplied BusinessCenters.>
cdm.base.datetime,func BusinessCenterHolidaysMultiple,<Returns a merged list of holidays for the supplied business centers.>
cdm.base.datetime,func BusinessCenterHolidays,
cdm.base.datetime,func DayOfWeek,<Returns the day of week corresponding to the supplied date.>
cdm.base.datetime,func AddDays,<Adds the specified number of calendar days to the supplied date.  A negative number will generate a date before the supplied date.>
cdm.base.datetime,func DateDifference,<Subtracts the two supplied dates to return the number of calendar days between them.  A negative number implies first is after second.>
cdm.base.datetime,func LeapYearDateDifference,<Subtracts the two supplied dates to return the number of leap year calendar days between them. A negative number implies firstDate is after secondDate.>
cdm.base.datetime,func AppendDateToList,<Add a date to a list of dates.>
cdm.base.datetime,func PopOffDateList,<Remove last element from a list of dates.>
cdm.base.datetime,func IsWeekend,"<returns whether the supplied date is a weekend. This assumes a 5 day week with Saturday and Sunday as holidays. A more sophisticated implementation might use the business centers to determine which days are weekends, but most jurisdictions where derivatives are traded follow this convention.>"
cdm.base.datetime,func IsHoliday,<Returns whether a day is a holiday for the specified business centers>
cdm.base.datetime,func IsBusinessDay,"<returns an indicator of whether the supplied date is a good business date given the supplied business centers. True => good date, i.e. not a weekend or holiday. False means that it is either a weekend or a holiday>"
cdm.base.datetime,func AddBusinessDays,"<Returns a good business date that has been offset by the given number of business days given the supplied business centers. A negative value implies an earlier date (before the supplied originalDate), and a positive value a later date (after the supplied date).>"
cdm.base.datetime,func GenerateDateList,"<Creates a list of good business days starting from the startDate and going to the end date, inclusive, omitting any days that are weekends or holidays according to the supplied business centers.>"
cdm.event.position,func FxMarkToMarket,<Representation of sample mark to market calculation provided by a member firm.>
cdm.event.position,func InterpolateForwardRate,
cdm.event.position,func EvaluatePortfolioState,<Function specification to evaluate a portfolio's aggregation parameters and return a new portfolio state containing aggregated positions.>
cdm.event.position,func IsValidPartyRole,
cdm.observable.common,func ResolveTimeZoneFromTimeType,<Defines inputs and outputs needed to derive the time and time-zone for a product identifier>
cdm.observable.common,func CashPriceQuantityNoOfUnitsTriangulation,"<Data rule to check the relationship between cash price, notional and number of units.>"
cdm.product.asset.floatingrate,func DetermineFloatingRateReset,"<Get the value of a floating rate by either observing it directly or performing a rate calculation.  This function works differently depending on the rate category and style, as described in the 2021 ISDA Definitions, Section 6.6.>"
cdm.product.asset.floatingrate,func GetFloatingRateProcessingType,"<Get a classification of  the floating rate is processed. This is based on FRO category, style, and calculation method, as described in the 2021 ISDA Definitions Section 6.6.  The categorization information is obtained from the FRO metadata. .>"
cdm.product.asset.floatingrate,func ProcessFloatingRateReset,"<Entry point for the function that performs the floating rate resetting operation.  There are different variations depending on the processing type (e.g. screen rate, OIS, modular calculated rate. .>"
cdm.product.asset.floatingrate,func ProcessFloatingRateReset(processingType,FloatingRateIndexProcessingTypeEnum -> Screen)
cdm.product.asset.floatingrate,func ProcessFloatingRateReset(processingType,FloatingRateIndexProcessingTypeEnum -> Modular)
cdm.product.asset.floatingrate,func ProcessFloatingRateReset(processingType,FloatingRateIndexProcessingTypeEnum -> OIS)
cdm.product.asset.floatingrate,func ProcessFloatingRateReset(processingType,FloatingRateIndexProcessingTypeEnum -> OvernightAvg)
cdm.product.asset.floatingrate,func GetCalculatedFROCalculationParameters,<Initialize a calculation parameters block for an OIS or a daily average rate. Used to support FROs that include an embedded calculation.>
cdm.product.asset.floatingrate,func ProcessFloatingRateReset(processingType,FloatingRateIndexProcessingTypeEnum -> CompoundIndex)
cdm.product.asset.floatingrate,func EvaluateScreenRate,<Evaluate/lookup the value of a screen rate.>
cdm.product.asset.floatingrate,func DetermineResetDate,<Determine the value of the reset date given a reset dates structure and a calculation paeriod for which it's needed. Reset dates are defined in the 2021 ISDA Definition in Section 6.5.5.>
cdm.product.asset.floatingrate,func DetermineFixingDate,<Determine the observation (fixing) date needed given a reset dates structure and a reset date.>
cdm.product.asset.floatingrate,func GetFloatingRateProcessingParameters,<Determine the processing parameters to use from the InterestRatePayout by looking them up if necessary from the corresponding schedules in the interest rate stream.>
cdm.product.asset.floatingrate,func SpreadAmount,<Look up the spread amount for a calculation period.>
cdm.product.asset.floatingrate,func MultiplierAmount,<Look up the multiplier amount for a calculation period.>
cdm.product.asset.floatingrate,func CapRateAmount,<Look up the cap rate amount for a calculation period.>
cdm.product.asset.floatingrate,func FloorRateAmount,<Look up the floor rate amount for a calculation period.>
cdm.product.asset.floatingrate,func GetRateScheduleAmount,<Get the rate for the period start date.>
cdm.product.asset.floatingrate,func GetRateScheduleStepValues,<Get all rate schedule step values whose stepDate is before or equal to the supplied periodStartDate.  Returns a list of step values starting from the initial rate.>
cdm.product.asset.floatingrate,func ApplyFloatingRateProcessing,"<Perform rate treatments on floating rates, such as applying spreads, multipliers, caps and floors, rounding, and negative interest treatment. TODO"
cdm.product.asset.floatingrate,func ApplyFloatingRatePostSpreadProcessing,"<Perform post-spread rate treatments on floating rates, such as applying caps and floors, rounding, and negative interest treatment.  TODOO"
cdm.product.asset.floatingrate,func ApplyCapsAndFloors,"<Apply any cap or floor rate as a constraint on a regular swap rate, as discussed in the 2021 ISDA Definitions, section 6.5.8 and 6.5.9.>"
cdm.product.asset.floatingrate,func ApplyUSRateTreatment,"<Apply the US rate treatment logic where applicable (Bond Equivalent Yield, Money Market Yield, as described in the 2021 ISDA Definitions, section 6.9.>"
cdm.product.asset.floatingrate,func ApplyFinalRateRounding,"<Apply the final rate rounding treatment logic as described in the 2021 ISDA Definitions, section 4.8.1.>"
cdm.observable.asset.calculatedrate,func EvaluateCalculatedRate,<Evaluate a calculated rate as described in the 2021 ISDA Definitions.>
